id,date,datetime,platform,scene_cloud,mean_C,median_C,q10_C,q90_C,min_C,max_C,valid_pixels,valid_fraction,file,source
LC08_L2SP_196025_20240728_02_T1,2024-07-28,2024-07-28T10:21:30.909448Z,landsat-8,24.46,29.056408520403107,28.898681640625,24.178396224975586,33.83771896362305,19.656354904174805,52.42149353027344,249751,0.29193775759970264,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240728_lc08_l2sp_196025_20240728_02_t1_LST_C.tif,local_existing
LC09_L2SP_197024_20230623_02_T1,2023-06-23,2023-06-23T10:26:59.794526Z,landsat-9,20.33,28.733846165308012,28.36205291748047,23.96647834777832,33.73859786987305,20.568965911865234,46.15626525878906,99846,0.11671151404919262,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20230623_lc09_l2sp_197024_20230623_02_t1_LST_C.tif,local_existing
LC08_L2SP_196025_20240509_02_T1,2024-05-09,2024-05-09T10:21:10.121532Z,landsat-8,15.12,27.513830760150434,27.302465438842773,21.857561111450195,33.301090240478516,16.37163734436035,55.962562561035156,430423,0.5031280172625407,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240509_lc08_l2sp_196025_20240509_02_t1_LST_C.tif,local_existing
LC08_L2SP_196025_20200412_02_T1,2020-04-12,2020-04-12T10:21:30.785447Z,landsat-8,28.22,28.576063546662677,28.765378952026367,24.028003692626953,33.242984771728516,17.03473472595215,49.87848663330078,452292,0.5286910253023399,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200412_lc08_l2sp_196025_20200412_02_t1_LST_C.tif,local_existing
LC08_L2SP_197025_20230818_02_T1,2023-08-18,2023-08-18T10:28:01.641922Z,landsat-8,19.98,28.483869109636707,28.744871139526367,23.44010353088379,33.191715240478516,0.49835336208343506,51.50546646118164,281905,0.3236009872008265,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20230818_lc08_l2sp_197025_20230818_02_t1_LST_C.tif,local_existing
LC08_L2SP_196025_20210720_02_T1,2021-07-20,2021-07-20T10:21:50.900371Z,landsat-8,24.3,27.44082445987175,27.275121688842773,22.20277976989746,32.54912567138672,19.00693130493164,51.884864807128906,143026,0.16718527540812678,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20210720_lc08_l2sp_196025_20210720_02_t1_LST_C.tif,local_existing
LC08_L2SP_196024_20200412_02_T1,2020-04-12,2020-04-12T10:21:06.907115Z,landsat-8,4.59,27.905773138402033,27.818586349487305,23.597332000732422,32.50811004638672,17.24665069580078,49.89558029174805,132985,0.15544819718197908,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200412_lc08_l2sp_196024_20200412_02_t1_LST_C.tif,local_existing
LC09_L2SP_196025_20240501_02_T1,2024-05-01,2024-05-01T10:21:29.946301Z,landsat-9,18.12,26.297544157974073,26.536828994750977,19.91612434387207,32.40557098388672,10.714815139770508,49.550357818603516,429678,0.5022571753863849,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240501_lc09_l2sp_196025_20240501_02_t1_LST_C.tif,local_existing
LC08_L2SP_196024_20240509_02_T1,2024-05-09,2024-05-09T10:20:46.243199Z,landsat-8,19.09,26.533659464800046,26.020708084106445,21.63538932800293,32.09794998168945,16.416072845458984,55.952308654785156,124171,0.14514537799213087,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240509_lc08_l2sp_196024_20240509_02_t1_LST_C.tif,local_existing
LC08_L2SP_196025_20210821_02_T1,2021-08-21,2021-08-21T10:22:04.025246Z,landsat-8,14.24,27.617087757499572,27.712629318237305,22.975252151489258,31.974899291992188,17.851640701293945,48.79155731201172,448151,0.5238505471692378,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20210821_lc08_l2sp_196025_20210821_02_t1_LST_C.tif,local_existing
LC08_L2SP_197025_20230530_02_T1,2023-05-30,2023-05-30T10:27:22.997817Z,landsat-8,1.64,26.155762067484766,26.57784652709961,19.782821655273438,31.937301635742188,14.119163513183594,47.03127670288086,425170,0.4880560179073638,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20230530_lc08_l2sp_197025_20230530_02_t1_LST_C.tif,local_existing
LC08_L2SP_197024_20230530_02_T1,2023-05-30,2023-05-30T10:26:59.111012Z,landsat-8,13.22,25.97234977913725,26.379600524902344,19.584577560424805,31.827924728393555,13.30567455291748,46.99709701538086,449941,0.5259429055025517,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20230530_lc08_l2sp_197024_20230530_02_t1_LST_C.tif,local_existing
LC09_L2SP_196024_20240501_02_T1,2024-05-01,2024-05-01T10:21:06.063758Z,landsat-9,11.03,26.560305150648535,26.300987243652344,21.932756423950195,31.807416915893555,13.609878540039062,49.516178131103516,134353,0.15704727327134965,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240501_lc09_l2sp_196024_20240501_02_t1_LST_C.tif,local_existing
LC08_L2SP_196024_20200919_02_T1,2020-09-19,2020-09-19T10:21:45.692718Z,landsat-8,0.27,27.611039323786212,27.96214485168457,23.38199806213379,31.287878036499023,20.155385971069336,41.97260665893555,117409,0.13724117293633853,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200919_lc08_l2sp_196024_20200919_02_t1_LST_C.tif,local_existing
LC08_L2SP_196025_20200919_02_T1,2020-09-19,2020-09-19T10:22:09.579520Z,landsat-8,0.07,27.39285002044639,27.685283660888672,23.49479103088379,30.580347061157227,20.090444564819336,41.97944259643555,451574,0.5278517441384744,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200919_lc08_l2sp_196025_20200919_02_t1_LST_C.tif,local_existing
LC08_L2SP_197024_20240921_02_T1,2024-09-21,2024-09-21T10:27:35.496014Z,landsat-8,0.65,27.017075231676777,27.305883407592773,23.06412124633789,30.29323387145996,19.41709327697754,45.9477653503418,451615,0.5278996696645447,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240921_lc08_l2sp_197024_20240921_02_t1_LST_C.tif,local_existing
LC09_L2SP_197025_20260428_02_T1,2026-04-28,2026-04-28T10:27:47.464465Z,landsat-9,8.3,24.977987908427348,24.974794387817383,19.93321418762207,30.25563621520996,7.3788275718688965,48.68560028076172,347310,0.3986799058715491,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20260428_lc09_l2sp_197025_20260428_02_t1_LST_C.tif,local_existing
LC08_L2SP_197025_20240921_02_T1,2024-09-21,2024-09-21T10:27:59.382818Z,landsat-8,0.18,27.033316903250437,27.312719345092773,23.10171890258789,30.238544464111328,19.32139015197754,45.79737091064453,417988,0.4798117430982035,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240921_lc08_l2sp_197025_20240921_02_t1_LST_C.tif,local_existing
LC08_L2SP_197025_20200910_02_T1,2020-09-10,2020-09-10T10:28:17.416824Z,landsat-8,25.31,26.103606260725723,26.413780212402344,21.1602840423584,30.235126495361328,18.207115173339844,45.414554595947266,410542,0.4712644205934684,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200910_lc08_l2sp_197025_20200910_02_t1_LST_C.tif,local_existing
